industry,obs_count,avg_closure_rate,std_closure_rate,high_risk_pct,avg_sales,avg_store_count,avg_franchise_ratio
고시원,18,0.1402,0.4713,0.2222,54462884.0,5.4,0.0
치킨전문점,13282,0.1336,0.3213,0.2348,182752380.0,2.8,1.8564
편의점,15242,0.1329,0.3329,0.2187,1282727253.0,2.7,2.8613
패스트푸드점,9879,0.1053,0.2687,0.2613,363003855.0,4.7,1.5239
PC방,3777,0.0828,0.2192,0.228,342321782.0,4.6,0.1687
분식전문점,20818,0.0669,0.1541,0.3094,333913789.0,8.0,0.3967
제과점,11047,0.0653,0.1817,0.239,431332364.0,6.3,0.5914
커피-음료,27418,0.0626,0.1349,0.4071,586081011.0,14.6,0.3756
중식음식점,11702,0.0568,0.1525,0.2704,495408848.0,8.5,0.1829
일식음식점,8958,0.0551,0.1363,0.3324,739599535.0,11.6,0.234
당구장,9005,0.0528,0.1355,0.225,62829468.0,6.2,0.0192
양식음식점,8851,0.0515,0.1293,0.3689,974161273.0,16.3,0.1937
호프-간이주점,23737,0.0515,0.1157,0.3694,674702710.0,15.2,0.1503
슈퍼마켓,23240,0.0486,0.1485,0.189,935553045.0,6.3,0.4582
한식음식점,38011,0.0456,0.085,0.4768,2170886117.0,30.2,0.1334
애완동물,1803,0.0427,0.1354,0.1436,110393139.0,5.3,0.1213
노래방,14483,0.0416,0.1068,0.2443,152214426.0,8.9,0.0259
여관,5467,0.0412,0.1213,0.236,306696497.0,10.6,0.0184
골프연습장,3430,0.0382,0.1316,0.1359,243600785.0,5.3,0.091
청과상,7555,0.0352,0.1084,0.2011,2859576205.0,11.4,0.0052
스포츠클럽,5860,0.035,0.1077,0.1874,343354552.0,7.8,0.0777
자동차미용,1335,0.0343,0.13,0.1049,85317430.0,4.7,0.0887
화장품,14484,0.0338,0.1045,0.2617,985657681.0,18.5,0.1214
피부관리실,8829,0.0335,0.0987,0.2381,128170293.0,11.3,0.0504
육류판매,11662,0.0328,0.1043,0.1533,1559398523.0,7.3,0.0078
스포츠 강습,11675,0.0318,0.0972,0.1893,159922272.0,8.2,0.0587
일반교습학원,16979,0.031,0.0875,0.255,913194042.0,16.3,0.1328
핸드폰,5733,0.0302,0.0928,0.2102,359954903.0,13.6,0.0105
외국어학원,1839,0.0299,0.115,0.1517,701262860.0,9.2,0.048
세탁소,10708,0.0295,0.1297,0.0911,53602862.0,4.6,0.2933
일반의류,23318,0.0294,0.0707,0.3355,2103748018.0,65.3,0.0027
예술학원,13043,0.0289,0.0939,0.1671,174843600.0,8.1,0.0511
전자상거래업,4916,0.0287,0.0711,0.311,385798001.0,22.5,0.0005
수산물판매,4164,0.028,0.1003,0.1614,6821799706.0,16.1,0.0226
반찬가게,9598,0.0277,0.0957,0.181,1982876197.0,11.2,0.0408
미곡판매,1740,0.0275,0.1186,0.092,1116504943.0,5.9,0.0
안경,5482,0.0272,0.1202,0.1009,444700591.0,5.7,0.5163
네일숍,6945,0.0263,0.0885,0.1536,49910545.0,7.8,0.0419
완구,390,0.0258,0.0883,0.1538,2416351617.0,10.4,0.0012
가방,1653,0.0254,0.0864,0.2995,909293596.0,25.3,0.0133
신발,3698,0.0254,0.0739,0.2756,1124960281.0,26.2,0.0205
자전거 및 기타운송장비,843,0.0237,0.1499,0.0534,379311907.0,3.9,0.0
화초,7764,0.0224,0.0801,0.1316,171447056.0,8.6,0.0109
문구,7080,0.0218,0.0973,0.1016,1080923154.0,7.5,0.2264
의료기기,4343,0.0216,0.0896,0.1349,1169265945.0,9.7,0.0254
서적,4179,0.0209,0.0957,0.1062,489585564.0,7.7,0.0225
의약품,15672,0.0208,0.0817,0.1258,2109811284.0,8.8,0.092
미용실,29795,0.0208,0.0619,0.1908,195421576.0,12.1,0.0881
부동산중개업,760,0.0201,0.0498,0.4645,217652762.0,69.5,0.0005
가구,3183,0.0195,0.0743,0.153,1362061800.0,12.5,0.001
인테리어,5318,0.0187,0.0833,0.0886,181421750.0,7.2,0.0011
섬유제품,2770,0.0186,0.0871,0.1105,346432420.0,13.5,0.0
운동/경기용품,3657,0.0185,0.0666,0.1427,1418665616.0,11.4,0.0001
자동차수리,10259,0.0176,0.0893,0.0705,402798922.0,5.8,0.1694
철물점,4568,0.0167,0.09,0.0495,110772744.0,4.2,0.0
가전제품수리,1584,0.0162,0.0739,0.0701,119164845.0,6.1,0.0
시계및귀금속,4764,0.0161,0.0774,0.1421,1661484953.0,26.3,0.0458
한의원,8567,0.016,0.0715,0.0892,518898999.0,7.1,0.0
가전제품,1760,0.0155,0.0644,0.1278,3735835030.0,13.2,0.0
조명용품,4537,0.0127,0.0693,0.1195,2424257806.0,39.6,0.0001
컴퓨터및주변장치판매,2968,0.0123,0.0488,0.1728,7929271501.0,40.3,0.0013
치과의원,10275,0.0114,0.0525,0.0794,1217005941.0,8.6,0.0
일반의원,13669,0.0106,0.0481,0.1096,2638643723.0,15.0,0.0
